Vertices;Runtime;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
4;0;
8;5;
8;6;
8;6;
8;9;
8;7;
8;2;
8;2;
8;3;
8;3;
8;3;
8;6;
8;6;
8;4;
8;3;
8;4;
8;1;
8;1;
8;1;
8;1;
8;1;
8;5;
8;5;
8;5;
8;3;
8;2;
8;1;
8;1;
8;0;
8;0;
8;1;
8;2;
8;2;
8;2;
8;3;
8;2;
8;3;
8;2;
8;3;
8;2;
8;2;
16;1535;
16;1575;
16;1504;
16;1491;
16;1483;
16;60;
16;78;
16;66;
16;61;
16;62;
16;155;
16;124;
16;126;
16;118;
16;135;
16;16;
16;26;
16;20;
16;17;
16;27;
16;20;
16;17;
16;17;
16;10;
16;16;
16;15;
16;18;
16;26;
16;14;
16;16;
